trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.5, 'e': 0.525596487525562}",20,0,-21.24162711044883,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,0,-39.05773191683669,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,1,-6.626391493070008,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5099857462495653}",25,0,-20.522286319702445,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.5048858887870696}",30,0,-84.42011292525699,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,3,-90.80656681072539,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
71,False,"{'a': 0.5, 'e': 0.49483865960020695}",20,12,13.988129035474142,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4898902730042049}",30,0,-73.1703989692225,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.48499137027416284}",30,19,9.546451238672368,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,0,9.16084506833184,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,0,-33.330901897622056,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.4705866415856499}",30,7,-42.79352101867142,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.46588077516979337}",25,0,-70.88054539332681,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,5,-42.10964815772443,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.4566097477439145}",35,15,-3.60364453390758,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.45204365026647536}",20,3,-22.891478363565483,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4475232137638106}",20,3,-6.121112069186146,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,14,-1.0641861590380903,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,10,-9.37303666756709,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43423132679181164}",35,0,-94.37426888645112,"{0: 26, 1: 3, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.4298890135238935}",35,25,10.855019044466683,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4255901233886546}",20,0,4.469965588948396,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.421334222154768}",20,0,-45.23477148447082,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.41712087993322033}",20,11,-46.12851249395118,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,0,-38.32778784609112,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.40882017442254925}",25,0,14.412082072005433,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.4047319726783238}",25,0,5.133614270690796,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.40068465295154054}",30,0,-56.9408125029622,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.3966778064220251}",30,0,-25.772178937427586,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,10,31.031066904374672,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3887839180742268}",20,0,-37.014085342395326,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,0,-26.829607922609892,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.38104711810454966}",20,14,3.994448549716296,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37723664692350417}",25,0,-13.178657536333406,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.37346428045426916}",30,0,-47.235850529801404,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,4,-26.932522623888357,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3660323412732292}",20,4,4.27430922044396,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3623720178604969}",25,0,-61.5406163979869,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.3587482976818919}",25,11,-61.94971725806546,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
104,False,"{'a': 0.5, 'e': 0.355160814705073}",25,0,12.555352897405013,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.35160920655802225}",20,7,-6.5129651198854415,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
